record_id,ownership,stakeholder,communication,calendar,process improvement,documentation,cross-functional,reporting,travel,confidential,project coordination,remote,AI,CRM,risk
V001,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
V002,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
V003,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
V004,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
V005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V006,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
V007,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
V008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
V010,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
V011,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
V012,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
V013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
V014,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
V015,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
V016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V017,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
V018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
V019,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
V020,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
V021,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
V022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
V023,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
V024,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
V025,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
V026,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
V027,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
V028,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
V029,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
V030,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
V031,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
V032,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
V033,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
V034,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
V035,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
V036,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
V037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V039,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
V040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
